"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"306","2024","8 març anticarcerari","","ES","Barcelona","2024-03-08","19:30:00","41.393717 2.197282 0 0","41.393717","2.197282","0.0","0.0","C/ del Dr. Trueta, 84, Sant Martí, 08005 Barcelona","{{https://kaosenlared.net/wp-content/uploads/2024/03/photo_2024-03-05_12-37-46.jpg}}","Bloc transfeminista, anticapitalista i anticolonial, contra les presons i CIEs com a aparells de dominació de l’Estat."
"307","2024","Plataforma 8M Badajoz","https://www.facebook.com/Plataforma8MBadajoz","ES","Badajoz","2024-03-08","18:00:00","38.874381 -6.974367 0 0","38.874381","-6.974367","0.0","0.0","Avda de Huelva, Badajoz","{{https://i.imgur.com/1tM0L1H.jpeg}}","https://www.facebook.com/Plataforma8MBadajoz"
"308","2024","Multisectorial feminista","https://www.facebook.com/MultisectorialFeministaCR","AR","Comodoro Rivadavia","2024-03-08","15:00:00","-45.86111 -67.485334 0 0","-45.86111","-67.485334","0.0","0.0","San Martín al 700, Comodoro Rivadavia,Provincia del Chubut.","{{https://www.facebook.com/MultisectorialFeministaCR}}","https://drive.google.com/file/d/1CjmbaUUquJ-hWjD19nV1rszxDarNIDY4/view?usp=sharing"
"309","2024","Concentración y marcha 8M Chubut, Argentina","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view?usp=sharing","AR","Trelew","2024-03-08","17:30:00","-43.250755 -65.306497 0 0","-43.250755","-65.306497","0.0","0.0","Peatonal Luis Gazin, Trelew, Chubut","{{https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view}}","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view"
"310","2024","Concentración y marcha 8M Puerto Madryn, Chubut","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view","AR","Puerto Madryn","2024-03-08","17:30:00","-42.767334 -65.036583 0 0","-42.767334","-65.036583","0.0","0.0","Bartolomé Mitre 199-299, U9120 Puerto Madryn, Chubut","{{https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view}}","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view"
"311","2024","Concentración y marcha 8M Esquel, Chubut","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view","AR","Esquel, Chubut","2024-03-08","16:30:00","-42.900431 -71.317516 0 0","-42.900431","-71.317516","0.0","0.0","Escuela Provincial N°24 Coronel Luis Jorge Fontana","{{https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view}}","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view"
"312","2024","Concentración y marcha 8M, El Bolson, Rio Negro","","AR","El Bolsón","2024-03-08","18:00:00","-41.964865 -71.535167 0 0","-41.964865","-71.535167","0.0","0.0","Av. San Martín, El Bolsón, Río Negro","{{https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view}}","https://drive.google.com/file/d/1Xhzs5A_MaVh5qurebnWxch8UFCIJTotB/view"
"313","2024","NI UNA MENOS LAMBAYEQUE","https://www.instagram.com/niunamenos_lambayeque?igsh=MWgwbzZzaXc3bW56Yw==","PE","Chiclayo","2024-03-08","15:30:00","-6.818044 -79.911223 21.600000381469727 27.531999588012695","-6.818044","-79.911223","21.60000038146973","27.5319995880127","PLAZUELA ELIAS AGUIRRE DE CHICLAYO","{{https://www.instagram.com/p/C4Ip6e8OVxC/?igsh=MWs5eG93eWVpYjY4eA==}}","https://www.instagram.com/p/C4Ip6e8OVxC/?igsh=MWs5eG93eWVpYjY4eA=="
"314","2024","Feria Popular - Asamblea Lesbotransfeminista Rosario","https://www.facebook.com/asambleafeministarosario?__tn__=-UC*F","AR","Rosario","2024-03-08","12:00:00","-32.943649 -60.64964 0 0","-32.943649","-60.64964","0.0","0.0","Plaza San Martín, rosario, argentina","{{https://www.facebook.com/photo?fbid=395872643202136&set=a.124897183633018}}","https://www.facebook.com/photo?fbid=395872643202136&set=a.124897183633018"
"315","2024","Asamblea Feminista Rosario","https://www.instagram.com/asambleafeministarosario/","AR","Rosario","2024-03-08","17:00:00","-32.943622 -60.649627 0 0","-32.943622","-60.649627","0.0","0.0","Plaza San Martín, Rosario, Argentina","{{https://www.instagram.com/p/C4LTJzhLuaw/?igsh=MWtzbDYxeTZiY2V6Zw==}}","https://www.instagram.com/p/C4LTJzhLuaw/?igsh=MWtzbDYxeTZiY2V6Zw=="
